,umap_1,umap_2,paul15_clusters,state
W31803,6.0820956,6.3926406,2Ery,
W31804,-3.9976656,7.1751842,13Baso,
W31805,-0.81023496,4.6800485,7MEP,7MEP
W31806,5.8381467,4.7043214,3Ery,
W31807,-3.4859717,7.3243065,13Baso,
W31808,-6.9561605,9.949465,15Mo,
W31809,-3.685026,7.4809318,13Baso,
W31810,-4.5825496,2.5496888,11DC,11DC
W31811,-1.9443691,6.5917263,17Neu,
W31812,-6.534882,8.4126425,13Baso,
W31813,-4.692785,8.230206,14Mo,
W31814,5.864424,6.75637,2Ery,
W31815,-4.58307,2.3665867,11DC,11DC
W31816,-5.055176,6.9210396,13Baso,
W31817,-5.088987,7.9614677,13Baso,
W31818,6.773855,6.882511,2Ery,
W31819,7.4155555,7.4064364,2Ery,
W31820,-5.525427,10.996764,16Neu,
W31821,-4.603782,8.59832,14Mo,
W31822,-2.64253,6.4790497,10GMP,
W31823,-6.018759,10.639489,16Neu,
W31824,-7.0379395,7.5461287,13Baso,
W31825,-4.931588,6.6303687,10GMP,
W31826,-6.40166,10.558847,16Neu,
W31827,4.613669,6.5132384,2Ery,
W31828,-5.3787675,8.248829,14Mo,
W31829,-1.1687673,5.1007366,12Baso,
W31830,-2.6158621,5.514643,9GMP,
W31831,7.4335694,5.809954,2Ery,
W31832,8.305498,5.023232,2Ery,
W31834,6.447596,6.895919,2Ery,
W31835,3.8694484,6.059597,6Ery,
W31836,-6.598828,6.450784,13Baso,
W31837,-3.3467143,7.4326205,14Mo,
W31838,7.032901,6.418425,2Ery,
W31839,6.1817923,5.393824,5Ery,
W31840,-7.3021016,10.937119,16Neu,
W31841,1.0673718,4.9896936,6Ery,
W31842,-3.247095,7.290405,13Baso,
W31845,-5.1444197,7.6167674,14Mo,
W31846,4.3779387,5.5489454,5Ery,
W31847,5.588774,6.476174,5Ery,
W31849,7.886807,6.8382273,2Ery,
W31850,5.7782083,4.930165,4Ery,
W31851,7.1926937,7.1159782,2Ery,
W31854,-2.9102652,6.687928,10GMP,
W31855,5.8840604,5.627713,5Ery,
W31856,-4.4779882,7.7953157,13Baso,
W31857,-5.4715714,7.662709,13Baso,
W31858,7.029447,6.4201593,2Ery,
W31859,-0.07898658,5.420951,12Baso,
W31860,-3.0531735,7.8016768,12Baso,
W31861,-5.2648087,9.873474,15Mo,
W31864,-6.548299,7.8064027,13Baso,
W31865,-6.5789347,6.9871764,13Baso,
W31866,-4.339179,8.153519,13Baso,
W31868,-4.913073,7.624414,13Baso,
W31870,-4.395021,6.0497184,10GMP,
W31871,-5.173218,10.079034,14Mo,
W31872,-7.0246887,7.595495,13Baso,
W36865,-0.31704587,4.4220834,7MEP,7MEP
W36866,-5.195735,8.161657,13Baso,
W36867,-0.7401379,5.3482847,9GMP,
W36868,-7.176763,7.906358,14Mo,
W36869,9.404691,5.2576723,1Ery,
W36871,7.391104,2.8443432,3Ery,
W36873,-8.320103,6.92088,13Baso,
W36874,-5.19797,8.034777,13Baso,
W36875,-7.864139,11.213233,15Mo,15Mo
W36876,5.706852,6.885144,2Ery,
W36877,-7.8474317,8.382696,13Baso,
W36878,7.4225535,4.0758686,5Ery,
W36879,-7.393911,8.754498,14Mo,
W36881,8.9253025,4.8392706,3Ery,
W36882,2.8957505,5.266265,6Ery,
W36883,8.315766,4.777311,2Ery,
W36884,-2.6110373,3.7573547,19Lymph,19Lymph
W36885,-6.9132004,9.651104,15Mo,
W36886,-2.8434968,7.1242733,12Baso,
W36887,-0.9877909,5.3472786,7MEP,7MEP
W36889,9.38075,5.819462,2Ery,
W36890,-0.37281448,6.6847177,8Mk,
W36891,-7.8952913,8.035354,14Mo,
W36892,-8.167539,7.974372,14Mo,
W36893,-0.9653443,6.823562,8Mk,
W36894,5.0746126,4.0054765,5Ery,
W36895,-4.8704963,9.172216,14Mo,
W36897,8.787072,6.018376,2Ery,
W36898,7.006013,3.2169776,3Ery,
W36899,-2.1975167,6.7890277,9GMP,
W36900,5.517488,5.195312,5Ery,
W36901,7.33391,5.0240088,3Ery,
W36902,5.870107,4.1165752,5Ery,
W36903,-7.3100553,7.985184,14Mo,
W36905,8.81154,4.712893,2Ery,
W36906,8.905146,5.1549773,2Ery,
W36907,-5.6137013,9.397087,14Mo,
W36908,-5.8091903,11.09127,16Neu,
W36909,-0.8159236,5.4860477,9GMP,
W36910,-7.370163,11.347171,16Neu,
W36911,-8.086336,11.006884,15Mo,15Mo
W36912,-5.1691008,5.8855104,10GMP,
W36913,7.980389,4.729596,3Ery,
W36914,-6.6416593,7.7652054,14Mo,
W36915,-0.044877153,7.182089,8Mk,
W36916,-4.7556314,9.289474,14Mo,
W36917,-6.120902,9.30128,15Mo,
W36918,-5.086449,10.704952,16Neu,
W36919,5.433187,5.258136,5Ery,
W36920,-6.953974,8.745698,14Mo,
W36921,-4.956312,10.302744,16Neu,
W36922,4.303886,5.501183,4Ery,
W36923,8.77515,5.4720373,2Ery,
W36924,-6.945785,7.174351,13Baso,
W36925,-7.9878287,7.5357075,14Mo,
W36926,-5.9269524,7.69292,13Baso,
W36927,3.8365202,4.833439,5Ery,
W36928,-5.727532,6.8303223,13Baso,
W36929,-0.39220738,5.0608,7MEP,
W36930,-6.366048,11.090063,15Mo,
W36931,2.300768,5.310045,6Ery,
W36932,-6.429794,11.131744,16Neu,
W36933,-7.623962,9.965474,15Mo,
W36934,-2.3246913,7.3716726,12Baso,
W36935,2.4584675,5.3338265,6Ery,
W36936,-7.1500025,7.5864906,13Baso,11DC
W36939,-6.177312,9.789951,14Mo,
W36940,-5.8403077,10.566894,16Neu,
W36941,-6.8050084,8.10211,14Mo,
W36942,-5.8179665,8.721752,14Mo,
W36943,7.12121,6.7381763,2Ery,
W36944,1.9953607,4.9145846,6Ery,
W36945,0.31450805,4.081595,6Ery,
W36946,-6.240652,6.6120243,13Baso,
W36947,-5.8073072,9.045976,14Mo,
W36948,-7.0403857,10.8234005,16Neu,
W36949,8.247567,4.755536,2Ery,
W36950,8.8360815,6.4228687,2Ery,
W36951,6.5787597,5.235752,5Ery,
W36952,7.030838,5.523618,2Ery,
W36953,4.553587,5.1149383,5Ery,
W36954,8.384013,6.8092337,1Ery,
W36955,-6.069114,6.4995127,13Baso,
W36956,-5.372794,8.391281,14Mo,
W36957,-6.4069524,8.84173,14Mo,
W36958,-6.8209796,11.458506,16Neu,
W36959,8.180371,7.0086083,1Ery,
W36960,6.1420226,3.9317603,6Ery,
W36961,-7.4633784,9.012364,14Mo,
W36962,-8.183354,8.135602,14Mo,
W36963,-7.520457,9.568637,15Mo,
W36964,-8.156442,6.877567,13Baso,
W36966,-7.66716,10.166019,15Mo,
W36967,9.130374,4.576933,1Ery,
W36969,-0.3671948,7.577974,8Mk,
W36970,-6.6568303,11.205953,15Mo,
W36971,-7.2686296,8.519713,14Mo,
W36972,-4.810953,6.5511193,10GMP,
W36973,-4.1866736,6.70591,9GMP,
W36974,4.5984893,4.636793,4Ery,
W36975,-7.807185,9.486534,15Mo,
W36976,0.8367808,4.07405,4Ery,
W36977,-4.48499,2.5357015,11DC,11DC
W36978,8.797628,6.493694,2Ery,
W36979,-6.6131625,8.006395,14Mo,
W36980,-4.179651,8.2566185,14Mo,
W36981,-0.37459671,7.4898047,8Mk,
W36982,-6.943388,7.8869133,13Baso,
W36983,4.2875557,4.443317,6Ery,
W36984,-5.6261654,6.7538533,13Baso,
W36985,5.9885707,4.949278,4Ery,
W36987,-3.8062027,6.1001635,13Baso,
W36990,-6.231031,9.004506,15Mo,
W36991,-5.046787,6.9429417,13Baso,
W36992,7.4973197,3.989646,4Ery,
W36993,7.6012216,6.9518557,2Ery,
W36994,-5.5109496,11.199746,16Neu,
W36995,7.045845,7.6513968,2Ery,
W36996,4.138176,5.6435256,5Ery,
W36997,8.164355,6.685472,2Ery,
W36998,3.7371387,5.2607584,5Ery,
W36999,-5.3681474,6.195048,10GMP,
W37000,-7.0114026,6.6544566,13Baso,
W37001,-4.0201964,7.4680853,13Baso,
W37003,-0.60253143,4.855122,8Mk,
W37004,-6.300107,11.266061,16Neu,
W37005,-5.79321,6.783258,13Baso,
W37006,-0.5889395,4.707505,7MEP,
W37008,7.0143943,5.4554396,4Ery,
W37009,-6.9880986,7.880734,13Baso,
W37010,0.19952232,4.4459844,6Ery,
W37011,6.354133,6.9898477,2Ery,
W37012,-2.6411312,6.8073254,14Mo,
W37013,-6.1979685,11.213185,16Neu,
W37014,7.7978654,6.278036,2Ery,
W37015,-3.9140484,7.8317614,13Baso,
W37016,-5.417725,9.770967,14Mo,
W37017,3.5055192,5.1259813,6Ery,
W37018,7.758587,7.523932,2Ery,
W37019,6.2226357,6.821067,2Ery,
W37020,7.2845635,7.457811,2Ery,
W37022,-0.8363372,6.941327,8Mk,
W37023,7.4681387,6.0034223,2Ery,
W37024,8.174262,4.3811293,4Ery,
W37025,-4.975415,8.44372,14Mo,
W37026,-1.6154197,5.6934385,17Neu,
W37027,3.1402547,5.3433213,5Ery,
W37028,-6.2727914,7.458873,13Baso,
W37029,-0.29989856,4.0952406,7MEP,
W37030,6.0470166,4.4702673,3Ery,
W37031,6.716472,4.2246547,5Ery,
W37032,-6.6944947,6.8403606,13Baso,
W37034,-0.7829341,7.206635,8Mk,
W37035,0.23264387,4.345278,6Ery,
W37036,5.9038935,6.222398,5Ery,
W37037,4.337793,4.7687154,5Ery,
W37038,-4.9356318,2.3395631,11DC,11DC
W37039,7.043603,5.977535,5Ery,
W37040,-4.3424335,9.513172,15Mo,
W37041,6.710581,6.3530593,2Ery,
W37042,7.4829993,6.5103526,2Ery,
W37043,-6.867619,10.199253,15Mo,
W37044,-5.791209,10.1043625,15Mo,
W37045,-7.615897,8.6241665,13Baso,
W37046,-6.8334146,8.646997,14Mo,
W37047,-6.435781,8.907104,14Mo,
W37048,-4.8690567,8.343133,14Mo,
W37049,4.250857,4.9528556,5Ery,
W37050,1.5661671,5.1773534,7MEP,
W37051,6.2420125,4.916616,3Ery,
W37052,7.220309,5.8630347,2Ery,
W37053,-0.041454066,5.0007367,7MEP,
W37054,7.7666388,7.4620705,1Ery,
W37055,-8.00729,8.303931,14Mo,
W37056,7.3092117,6.218591,2Ery,
W37057,-6.6467853,9.499008,15Mo,
W37058,-8.380711,8.47306,13Baso,
W37059,6.466926,5.2082887,4Ery,
W37060,-8.922875,8.454506,13Baso,
W37061,3.330639,4.8272953,6Ery,
W37063,-3.7183344,6.546455,9GMP,
W37065,9.250404,4.0271726,3Ery,
W37066,3.7699785,5.0242653,6Ery,
W37067,8.297204,7.039023,1Ery,
W37068,6.886407,4.1134524,4Ery,
W37069,-7.3140087,7.3441744,13Baso,
W37070,-5.460291,5.9358344,9GMP,
W37072,-0.17038344,5.1011467,7MEP,7MEP
W37073,-5.716412,8.786999,14Mo,
W37074,-7.0172334,8.289898,13Baso,
W37075,-8.35103,7.5438113,13Baso,
W37076,-2.5166333,3.684438,19Lymph,19Lymph
W37077,-3.362814,6.599012,10GMP,
W37078,-1.5541352,6.781972,9GMP,
W37079,3.9833963,5.40005,5Ery,
W37080,-6.2273755,11.451175,16Neu,
W37081,-6.110236,8.733565,14Mo,
W37082,-6.5190406,10.207891,15Mo,
W37083,7.73145,5.994927,2Ery,
W37084,8.066209,4.741751,3Ery,
W37085,-5.483618,6.9301715,13Baso,
W37086,4.3505855,5.2141395,6Ery,
W37087,5.2180033,6.316096,4Ery,
W37088,8.339562,4.709255,3Ery,
W37089,-7.140652,11.171575,16Neu,
W37090,-1.5344718,7.4663815,9GMP,
W37091,-2.1941936,6.100334,9GMP,
W37092,-0.73606646,4.7939057,12Baso,7MEP
W37093,-0.786142,5.092659,7MEP,7MEP
W37094,-6.0914683,10.853625,16Neu,
W37095,2.8041565,4.637822,6Ery,
W37096,-6.019133,8.201425,13Baso,
W37097,-2.6576002,7.9036293,17Neu,
W37098,-5.9922967,9.089318,14Mo,
W37099,8.705177,5.336166,3Ery,
W37100,-7.1177235,11.576128,16Neu,
W37101,-6.2180324,7.151098,13Baso,
W37102,-6.79016,8.172062,14Mo,
W37103,9.499382,4.671831,3Ery,
W37104,-6.170737,8.485306,14Mo,
W37105,-6.629892,11.180174,16Neu,
W37106,8.237607,5.120218,2Ery,
W37107,-3.712752,8.928111,18Eos,
W37108,0.1635152,5.1134887,7MEP,
W37109,-0.3625311,4.556252,7MEP,
W37110,6.215488,5.0457964,5Ery,
W37111,-5.71645,9.445299,16Neu,
W37112,7.128195,6.501599,2Ery,
W37113,5.705553,6.037091,5Ery,
W37114,-6.297341,8.1369705,13Baso,
W37115,1.3404325,4.824792,6Ery,
W37116,-6.1481724,8.761596,14Mo,
W37117,-2.909558,7.9324803,12Baso,
W37118,-5.1664376,6.7555327,13Baso,
W37119,6.441609,4.882197,5Ery,
W37120,6.844587,5.3136444,2Ery,
W37121,8.308755,4.8409257,2Ery,
W37122,-7.552004,8.26223,14Mo,
W37123,-6.5267634,10.949099,16Neu,
W37124,-6.1591167,8.911671,14Mo,
W37125,9.176101,6.234772,1Ery,
W37126,-4.6480236,2.468634,11DC,11DC
W37127,8.50774,6.1372037,1Ery,
W37128,-5.3646984,7.3576484,13Baso,
W37130,6.180583,5.344758,3Ery,
W37131,6.404047,5.6041512,5Ery,
W37132,-6.488944,10.979863,16Neu,
W37133,-6.260787,11.372608,16Neu,
W37134,3.224035,4.877981,6Ery,
W37135,8.861039,6.6818924,1Ery,
W37137,-7.068628,8.60727,14Mo,
W37138,-7.1801724,10.439357,16Neu,
W37139,8.105336,5.073356,2Ery,
W37140,2.1993327,5.5714364,10GMP,
W37141,5.0657573,5.6146255,5Ery,
W37142,-7.3416696,7.8674207,14Mo,
W37143,6.6863728,7.239126,2Ery,
W37144,4.519587,4.4060755,6Ery,
W37145,7.057668,4.4713526,5Ery,
W37146,8.39126,7.338256,1Ery,
W37147,-0.07583079,4.6020293,5Ery,
W37148,-6.3812027,10.1722,15Mo,
W37149,-2.4525113,3.7886083,19Lymph,19Lymph
W37150,-3.0135767,5.87759,10GMP,
W37151,8.165812,5.6942406,2Ery,
W37152,5.927761,4.756621,5Ery,
W37153,-0.3644701,4.762347,7MEP,
W37154,5.5727205,3.4710944,6Ery,
W37155,-5.21383,2.771748,11DC,11DC
W37156,7.3735743,4.80473,4Ery,
W37157,-7.9878745,8.431415,15Mo,
W37158,8.57571,5.2760506,3Ery,
W37159,9.139049,5.6099935,2Ery,
W37161,0.45193082,5.2715073,7MEP,
W37162,9.604436,5.130467,1Ery,
W37163,-0.33732307,4.3780813,7MEP,7MEP
W37164,4.2430634,5.424693,5Ery,
W37165,7.710259,3.7588427,3Ery,
W37166,6.178644,5.3160634,3Ery,
W37167,-7.472378,8.421759,13Baso,
W37168,7.114288,3.5745835,3Ery,
W37169,-6.7445517,10.850212,15Mo,
W37170,-7.545276,8.952161,15Mo,
W37171,6.3932133,4.827251,4Ery,
W37172,-6.879145,8.869197,14Mo,
W37173,7.3821898,6.3260627,2Ery,
W37174,8.660876,5.1520276,2Ery,
W37175,-7.1271515,11.382786,16Neu,
W37176,-8.519381,7.3048363,13Baso,
W37177,-6.1944733,6.758928,14Mo,
W37178,3.8906043,5.2042093,5Ery,
W37179,-5.873295,9.976593,16Neu,
W37180,-5.3242707,8.665531,14Mo,
W37181,-5.836966,9.734493,16Neu,
W37182,-0.6053127,7.7088714,8Mk,
W37183,0.72024584,4.460789,7MEP,
W37184,-0.8551279,4.9993634,8Mk,7MEP
W37185,-5.4418716,7.886548,14Mo,
W37186,-5.3564014,6.426442,10GMP,
W37187,6.449598,5.333859,5Ery,
W37188,0.28956583,5.957987,10GMP,
W37190,6.5887856,4.927422,3Ery,
W37191,-6.5235276,6.917716,13Baso,
W37192,-5.3306155,8.484776,14Mo,
W37193,8.2206135,5.3818455,3Ery,
W37194,5.173145,6.838652,2Ery,
W37195,6.524925,7.434907,2Ery,
W37196,-5.437897,10.021492,14Mo,
W37197,6.139706,6.685091,2Ery,
W37198,2.7340338,5.560968,6Ery,
W37199,7.373189,5.4764376,4Ery,
W37200,-7.2963233,10.052396,15Mo,
W37201,-6.0596814,7.004704,13Baso,
W37202,3.3524787,6.0452704,6Ery,
W37203,-2.0313873,6.879191,12Baso,
W37204,-5.210641,10.727288,16Neu,
W37205,-6.6218886,9.018538,14Mo,
W37206,-6.0771976,10.174754,15Mo,
W37207,-8.837004,7.875757,13Baso,
W37208,7.598452,5.5430818,2Ery,
W37209,-4.5336843,8.452517,14Mo,
W37210,-4.2123218,8.2866125,14Mo,
W37211,-0.8931767,5.8258414,12Baso,
W37212,-2.0276394,6.4341364,10GMP,
W37213,-0.4963055,4.79127,7MEP,
W37215,7.890666,5.8502955,2Ery,
W37216,5.4297314,5.4455886,4Ery,
W37217,6.2713027,6.3047557,3Ery,
W37218,-5.4884934,10.51344,16Neu,
W37219,4.4088883,6.482135,5Ery,
W37220,5.980929,7.0456004,2Ery,
W37221,5.9227047,4.83552,3Ery,
W37223,6.899119,7.1175156,2Ery,
W37224,-5.0314746,8.822847,14Mo,
W37225,-7.7373986,8.485912,14Mo,
W37226,-0.6795571,7.29441,8Mk,
W37227,6.035834,6.599703,5Ery,
W37228,0.65288043,5.204069,7MEP,
W37229,-0.19688238,4.103758,7MEP,
W37230,-6.3548584,11.603846,16Neu,
W37231,6.431766,6.4346294,2Ery,
W37232,-6.865971,6.389393,13Baso,
W37233,6.83098,5.0235305,5Ery,
W37234,4.9842243,5.9303956,5Ery,
W37235,-5.519839,9.71608,14Mo,
W37236,2.4900098,5.2430778,6Ery,
W37237,-5.254263,8.512966,14Mo,
W37238,-0.43966213,5.741053,7MEP,
W37239,6.987594,6.8995824,2Ery,
W37240,-4.3377447,6.7277946,13Baso,
W37241,7.547204,7.3172655,2Ery,
W37242,-4.2503104,7.975509,14Mo,
W37243,6.563139,6.8503156,2Ery,
W37244,-6.4139423,10.247545,15Mo,
W37245,4.850425,5.264993,3Ery,
W37246,5.70689,4.4458847,5Ery,
W37247,-0.67622995,5.9979315,10GMP,
W37248,3.092169,5.8205304,6Ery,
W37249,-3.3457744,7.5411263,15Mo,
W37250,9.482585,4.470681,1Ery,
W37251,6.9835443,3.9808624,4Ery,
W37252,-1.8727264,6.9172087,12Baso,
W37253,5.540585,6.151367,4Ery,
W37258,-8.554623,7.194008,13Baso,
W37259,6.8120894,3.335612,6Ery,
W37260,1.7545458,4.3745437,3Ery,
W37261,0.48894534,6.9811096,8Mk,
W37262,6.137447,3.0315146,6Ery,
W37264,5.954916,6.0954103,3Ery,
W37265,8.011465,3.8842356,3Ery,
W37266,8.189034,3.310589,4Ery,
W37267,-8.040725,10.480334,16Neu,15Mo
W37268,-0.14042614,5.0255513,7MEP,
W37269,8.336133,3.9460406,3Ery,
W37270,-8.612205,10.330478,15Mo,15Mo
W37273,-4.528763,5.729911,10GMP,
W37274,-3.466568,7.087683,12Baso,
W37275,8.593374,3.3777957,3Ery,3Ery
W37276,7.978645,3.3240776,3Ery,
W37277,-9.020187,7.9026427,14Mo,
W37278,-3.584065,6.5622506,9GMP,
W37279,-2.902942,7.411344,12Baso,
W37280,-7.7030935,10.385229,15Mo,
W37281,-8.561303,10.418258,15Mo,15Mo
W37282,8.4598255,4.5016966,2Ery,
W37283,-5.8262157,7.788393,14Mo,
W37284,6.9037967,5.6192064,4Ery,
W37285,8.319058,3.2495878,3Ery,
W37286,-7.814001,7.0003414,14Mo,
W37288,-7.4154744,7.292335,14Mo,
W37289,-0.8835433,7.9014435,8Mk,
W37290,-6.8950715,11.417749,16Neu,
W37291,-1.8006912,5.740399,10GMP,
W37292,8.131497,5.8024445,2Ery,
W37293,7.745733,6.207087,2Ery,
W37294,7.3056755,3.2157478,3Ery,
W37295,1.04982,5.5294986,9GMP,
W37296,-8.603357,10.304449,15Mo,15Mo
W37297,-7.3040814,6.912628,14Mo,
W37298,5.47482,5.4202995,5Ery,
W37300,-5.0774026,8.0426235,14Mo,
W37301,8.112929,5.288348,2Ery,
W37302,-8.0243635,7.000031,13Baso,
W37303,-8.55839,7.5512915,14Mo,
W37304,-8.559879,7.1222777,14Mo,
W37305,-7.4049993,8.508925,14Mo,
W37306,8.79576,4.1370997,2Ery,
W37307,7.968997,6.256938,2Ery,
W37308,-5.2701592,7.3873725,13Baso,
W37309,1.7018158,5.054288,6Ery,
W37310,-0.9083194,4.686457,7MEP,7MEP
W37311,0.022367202,5.0589585,7MEP,
W37312,-6.700284,6.840985,13Baso,
W37313,6.695456,3.540912,3Ery,
W37314,3.5768836,4.877995,3Ery,
W37315,-5.6456633,7.634022,14Mo,
W37317,1.4531581,4.503751,2Ery,
W37318,7.8272142,7.0477552,2Ery,
W37319,-1.2940383,7.28103,8Mk,
W37320,0.5381653,5.1607323,7MEP,
W37322,-6.4849215,11.529593,16Neu,
W37323,4.817598,5.2795844,5Ery,
W37324,-7.5335674,7.5210185,14Mo,
W37325,5.1824255,5.7691183,2Ery,
W37326,-5.8417716,8.89875,14Mo,
W37327,-0.4534925,7.5781913,8Mk,
W37328,0.66254073,5.9924874,7MEP,
W37329,-2.6866038,3.8140955,19Lymph,19Lymph
W37330,-7.446385,9.374887,14Mo,
W37331,-0.5474825,4.8275614,12Baso,
W37332,-6.186865,6.5458484,13Baso,
W37334,0.23905389,6.7903314,12Baso,
W37335,-7.1361613,6.6532784,13Baso,
W37336,7.81533,2.9296024,4Ery,
W37337,-8.574871,8.565479,14Mo,
W37338,9.174376,3.994868,2Ery,
W37339,6.3638115,5.5086207,5Ery,
W37340,-4.7991676,2.5897236,11DC,11DC
W37341,-7.6617947,10.936596,16Neu,
W37342,8.281409,3.0556042,3Ery,3Ery
W37343,-4.896909,2.5119476,11DC,11DC
W37344,7.637436,3.9872916,3Ery,
W37345,8.42415,3.8077197,4Ery,
W37346,9.109431,4.173103,3Ery,
W37347,2.3271272,4.775421,6Ery,
W37348,-8.4746,9.730914,15Mo,
W37349,-1.7556982,6.513358,17Neu,
W37350,-6.196678,8.017451,14Mo,
W37353,8.265685,4.0571184,4Ery,
W37354,-4.93917,5.6651306,9GMP,
W37355,0.27252144,5.377986,7MEP,
W37356,-0.1792005,4.3666153,7MEP,7MEP
W37357,-8.409734,9.497157,14Mo,
W37358,-6.5013294,6.4420652,13Baso,
W37361,6.7789783,3.558134,4Ery,
W37362,-2.664965,5.864669,13Baso,
W37363,-7.4420886,7.2352476,14Mo,
W37364,6.7274365,5.195734,3Ery,
W37365,7.918083,6.983795,2Ery,
W37366,7.822709,2.6917224,3Ery,3Ery
W37367,-8.08659,7.736306,14Mo,
W37369,5.5782375,3.4554465,6Ery,
W37371,7.1529574,6.6652102,2Ery,
W37372,-5.764362,6.330784,10GMP,
W37373,-6.0997868,7.031361,13Baso,
W37374,4.3274293,4.693126,5Ery,
W37375,0.7465358,4.576091,7MEP,
W37376,-7.7280736,7.1123476,13Baso,
W37377,7.9433947,5.879124,3Ery,
W37378,7.9469223,6.072407,2Ery,
W37379,-6.184121,7.8196254,14Mo,
W37380,7.5214167,5.3761044,3Ery,
W37381,6.719037,6.401728,2Ery,
W37382,-0.46828836,4.346892,10GMP,
W37384,-9.004553,7.5051928,13Baso,
W37385,-8.291619,7.318504,14Mo,
W37386,6.7753544,4.610242,4Ery,
W37387,4.8093934,5.95936,5Ery,
W37388,-2.761388,7.8655634,18Eos,
W37389,4.943076,6.505018,2Ery,
W37390,-6.941669,9.993802,14Mo,
W37391,8.270228,3.0937018,3Ery,3Ery
W37392,-5.3368545,6.643661,13Baso,
W37393,5.4618316,4.687091,5Ery,
W37394,-2.5797389,7.490351,12Baso,
W37395,3.1751459,5.5809116,5Ery,
W37396,7.444522,5.159362,2Ery,
W37397,-0.8689811,4.6417956,7MEP,
W37398,2.5463517,5.0715585,5Ery,
W37399,-6.720363,10.959617,16Neu,
W37401,-8.823652,9.674295,15Mo,
W37402,-3.0038574,8.132131,14Mo,
W37403,6.710558,5.4270716,5Ery,
W37405,-7.636264,9.955704,16Neu,
W37406,7.0944467,5.9883647,2Ery,
W37407,8.407107,6.160387,2Ery,
W37409,4.6731586,4.2461324,6Ery,
W37410,7.6742625,6.2331,2Ery,
W37411,6.913881,5.47303,5Ery,
W37412,-5.4667435,7.2407413,14Mo,
W37413,8.592837,5.0992246,2Ery,
W37414,6.8210907,2.693111,3Ery,
W37415,6.4497128,3.8327549,5Ery,
W37417,-8.066237,10.658009,16Neu,15Mo
W37418,-5.6720304,5.759982,10GMP,
W37419,-5.645615,8.029293,14Mo,
W37420,8.347654,6.877011,1Ery,
W37421,7.5099006,6.8888392,2Ery,
W37422,8.851448,3.617967,3Ery,3Ery
W37424,-6.8816786,10.728947,15Mo,
W37425,0.34241414,6.051909,7MEP,
W37426,6.0859723,5.467032,4Ery,
W37427,-0.37048155,5.0613956,7MEP,7MEP
W37428,4.630674,5.1748304,5Ery,
W37429,6.1042895,5.4617057,2Ery,
W37430,-6.392833,6.0953846,13Baso,
W37431,-8.219997,8.342389,14Mo,
W37432,-7.923467,8.0373955,15Mo,
W37433,8.387011,4.780604,2Ery,
W37434,-6.354806,9.010142,14Mo,
W37435,4.1378384,4.2733746,6Ery,
W37436,-4.950799,6.6739554,12Baso,
W37437,8.02009,5.047433,2Ery,
W37439,-2.8848956,3.6525707,19Lymph,19Lymph
W37442,3.526246,4.0961795,6Ery,
W37443,-8.949053,8.339089,14Mo,
W37446,1.5513467,5.3143096,6Ery,
W37449,-1.6230447,6.2130475,17Neu,
W37450,4.913923,4.1222467,6Ery,
W37451,-0.19657856,4.0808845,6Ery,
W37452,-2.4055593,5.888074,9GMP,
W37453,7.392626,3.645587,3Ery,
W37454,-7.8543367,8.082126,14Mo,
W37455,4.976217,3.2588813,6Ery,
W37456,-8.881872,9.203193,15Mo,
W37457,-7.2990847,9.3916855,15Mo,
W37458,-7.928115,6.977039,13Baso,
W37459,8.026313,4.692301,3Ery,
W37460,-5.756034,10.978703,16Neu,
W37461,-0.1701754,4.421459,7MEP,
W37462,8.265381,2.6446774,3Ery,3Ery
W37463,-8.702275,8.293581,13Baso,
W37465,8.539214,4.4153786,3Ery,
W37466,-6.5123005,7.906923,14Mo,
W37467,-8.055156,7.171239,14Mo,
W37468,-0.45027938,7.5511475,8Mk,
W37469,-6.2460537,11.262261,16Neu,
W37470,-6.569506,9.585972,14Mo,
W37471,-2.236967,7.373305,17Neu,
W37473,8.918461,4.1109695,3Ery,
W37474,4.6385818,5.567193,5Ery,
W37475,-3.4129717,6.552751,10GMP,
W37476,-6.751204,11.1690855,16Neu,
W37477,6.357242,5.6908746,2Ery,
W37478,-4.658768,8.421848,14Mo,
W37479,3.0783463,4.9033184,6Ery,
W37480,-8.178316,7.387079,14Mo,
W37481,-8.866838,7.422647,13Baso,
W37482,4.9833617,4.94753,5Ery,
W37483,-1.4820083,7.51902,10GMP,
W37484,-0.021592582,4.2321105,7MEP,7MEP
W37485,5.7525125,6.8712063,2Ery,
W37486,6.327117,6.478403,2Ery,
W37487,8.031146,6.025667,2Ery,
W37488,-8.543102,8.739581,14Mo,
W37489,1.7008473,5.131836,7MEP,
W37490,-0.579384,7.4501314,8Mk,
W37491,-6.0706773,7.8189015,14Mo,
W37492,6.578176,7.168676,2Ery,
W37493,6.669631,6.4084177,2Ery,
W37494,-5.071054,7.4848237,14Mo,
W37496,-7.459883,6.8883033,13Baso,
W37497,0.50948596,6.712285,7MEP,
W37498,8.910819,3.660163,4Ery,3Ery
W37499,-7.122164,7.688725,13Baso,
W37500,-4.5980296,8.191676,13Baso,
W37501,4.134354,5.586582,5Ery,
W37502,7.180246,6.6789594,2Ery,
W37503,-1.4638499,5.365195,18Eos,
W37504,-7.812719,9.965539,15Mo,
W37505,5.8339515,3.8610158,5Ery,
W37506,0.054015663,4.207047,7MEP,
